Date,Price,Stock
1996-06-25,50.05,SMSN LI Equity
1996-06-26,49.07,SMSN LI Equity
1996-06-27,49.68,SMSN LI Equity
1996-06-28,49.93,SMSN LI Equity
1996-07-01,51.64,SMSN LI Equity
1996-07-02,52.13,SMSN LI Equity
1996-07-03,51.52,SMSN LI Equity
1996-07-04,51.27,SMSN LI Equity
1996-07-05,50.05,SMSN LI Equity
1996-07-08,49.19,SMSN LI Equity
1996-07-09,51.15,SMSN LI Equity
1996-07-10,50.17,SMSN LI Equity
1996-07-11,49.68,SMSN LI Equity
1996-07-12,49.31,SMSN LI Equity
1996-07-15,47.6,SMSN LI Equity
1996-07-16,48.58,SMSN LI Equity
1996-07-17,50.29,SMSN LI Equity
1996-07-18,51.03,SMSN LI Equity
1996-07-19,54.33,SMSN LI Equity
1996-07-22,53.6,SMSN LI Equity
1996-07-23,52.89,SMSN LI Equity
1996-07-24,50.66,SMSN LI Equity
1996-07-25,49.93,SMSN LI Equity
1996-07-26,49.31,SMSN LI Equity
1996-07-29,50.05,SMSN LI Equity
1996-07-30,49.93,SMSN LI Equity
1996-07-31,50.17,SMSN LI Equity
1996-08-01,51.15,SMSN LI Equity
1996-08-02,50.78,SMSN LI Equity
1996-08-05,50.66,SMSN LI Equity
1996-08-06,50.54,SMSN LI Equity
1996-08-07,51.03,SMSN LI Equity
1996-08-08,52.86,SMSN LI Equity
1996-08-09,50.9,SMSN LI Equity
1996-08-12,50.29,SMSN LI Equity
1996-08-13,50.17,SMSN LI Equity
1996-08-14,48.82,SMSN LI Equity
1996-08-15,48.82,SMSN LI Equity
1996-08-16,50.29,SMSN LI Equity
1996-08-19,49.31,SMSN LI Equity
1996-08-20,48.21,SMSN LI Equity
1996-08-21,48.09,SMSN LI Equity
1996-08-22,48.46,SMSN LI Equity
1996-08-23,48.33,SMSN LI Equity
1996-08-27,45.74,SMSN LI Equity
1996-08-28,45.52,SMSN LI Equity
1996-08-29,43.56,SMSN LI Equity
1996-08-30,46.25,SMSN LI Equity
1996-09-02,44.91,SMSN LI Equity
1996-09-03,44.42,SMSN LI Equity
1996-09-04,43.81,SMSN LI Equity
1996-09-05,41.73,SMSN LI Equity
1996-09-06,37.69,SMSN LI Equity
1996-09-09,37.44,SMSN LI Equity
1996-09-10,39.52,SMSN LI Equity
1996-09-11,39.16,SMSN LI Equity
1996-09-12,38.79,SMSN LI Equity
1996-09-13,38.42,SMSN LI Equity
1996-09-16,39.89,SMSN LI Equity
1996-09-17,41.36,SMSN LI Equity
1996-09-18,40.63,SMSN LI Equity
1996-09-19,39.28,SMSN LI Equity
1996-09-20,39.89,SMSN LI Equity
1996-09-23,42.34,SMSN LI Equity
1996-09-24,43.56,SMSN LI Equity
1996-09-25,46.99,SMSN LI Equity
1996-09-26,47.97,SMSN LI Equity
1996-09-27,49.68,SMSN LI Equity
1996-09-30,48.95,SMSN LI Equity
1996-10-01,49.93,SMSN LI Equity
1996-10-02,47.72,SMSN LI Equity
1996-10-03,48.46,SMSN LI Equity
1996-10-04,46.99,SMSN LI Equity
1996-10-07,49.56,SMSN LI Equity
1996-10-08,48.7,SMSN LI Equity
1996-10-09,52.13,SMSN LI Equity
1996-10-10,50.76,SMSN LI Equity
1996-10-11,51.64,SMSN LI Equity
1996-10-14,50.9,SMSN LI Equity
1996-10-15,50.9,SMSN LI Equity
1996-10-16,51.15,SMSN LI Equity
1996-10-17,50.9,SMSN LI Equity
1996-10-18,50.9,SMSN LI Equity
1996-10-21,50.32,SMSN LI Equity
1996-10-22,49.31,SMSN LI Equity
1996-10-23,49.44,SMSN LI Equity
1996-10-24,48.7,SMSN LI Equity
1996-10-25,47.6,SMSN LI Equity
1996-10-28,46.13,SMSN LI Equity
1996-10-29,44.42,SMSN LI Equity
1996-10-30,44.69,SMSN LI Equity
1996-10-31,45.15,SMSN LI Equity
1996-11-01,47.05,SMSN LI Equity
1996-11-04,45.64,SMSN LI Equity
1996-11-05,47.11,SMSN LI Equity
1996-11-06,48.09,SMSN LI Equity
1996-11-07,46.87,SMSN LI Equity
1996-11-08,48.09,SMSN LI Equity
1996-11-11,48.33,SMSN LI Equity
1996-11-12,50.54,SMSN LI Equity
1996-11-13,48.95,SMSN LI Equity
1996-11-14,48.21,SMSN LI Equity
1996-11-15,49.19,SMSN LI Equity
1996-11-18,48.7,SMSN LI Equity
1996-11-19,48.52,SMSN LI Equity
1996-11-20,49.31,SMSN LI Equity
1996-11-21,49.73,SMSN LI Equity
1996-11-22,48.46,SMSN LI Equity
1996-11-25,48.09,SMSN LI Equity
1996-11-26,47.97,SMSN LI Equity
1996-11-27,47.78,SMSN LI Equity
1996-11-28,49.19,SMSN LI Equity
1996-11-29,48.95,SMSN LI Equity
1996-12-02,49.56,SMSN LI Equity
1996-12-03,47.48,SMSN LI Equity
1996-12-04,46.87,SMSN LI Equity
1996-12-05,46.62,SMSN LI Equity
1996-12-06,45.64,SMSN LI Equity
1996-12-09,46.01,SMSN LI Equity
1996-12-10,46.79,SMSN LI Equity
1996-12-11,45.89,SMSN LI Equity
1996-12-12,44.86,SMSN LI Equity
1996-12-13,43.81,SMSN LI Equity
1996-12-16,42.46,SMSN LI Equity
1996-12-17,40.75,SMSN LI Equity
1996-12-18,43.32,SMSN LI Equity
1996-12-19,45.28,SMSN LI Equity
1996-12-20,44.42,SMSN LI Equity
1996-12-23,42.66,SMSN LI Equity
1996-12-24,42.58,SMSN LI Equity
1996-12-27,40.5,SMSN LI Equity
1996-12-30,40.38,SMSN LI Equity
1996-12-31,40.5,SMSN LI Equity
1997-01-02,40.32,SMSN LI Equity
1997-01-03,40.26,SMSN LI Equity
1997-01-06,36.71,SMSN LI Equity
1997-01-07,39.77,SMSN LI Equity
1997-01-08,42.83,SMSN LI Equity
1997-01-09,42.71,SMSN LI Equity
1997-01-10,43.56,SMSN LI Equity
1997-01-13,43.81,SMSN LI Equity
1997-01-14,45.4,SMSN LI Equity
1997-01-15,44.74,SMSN LI Equity
1997-01-16,44.81,SMSN LI Equity
1997-01-17,44.05,SMSN LI Equity
1997-01-20,45.01,SMSN LI Equity
1997-01-21,43.61,SMSN LI Equity
1997-01-22,42.71,SMSN LI Equity
1997-01-23,42.83,SMSN LI Equity
1997-01-24,43.93,SMSN LI Equity
1997-01-27,42.46,SMSN LI Equity
1997-01-28,44.79,SMSN LI Equity
1997-01-29,44.3,SMSN LI Equity
1997-01-30,45.03,SMSN LI Equity
1997-01-31,45.28,SMSN LI Equity
1997-02-03,45.52,SMSN LI Equity
1997-02-04,46.62,SMSN LI Equity
1997-02-05,45.4,SMSN LI Equity
1997-02-06,44.91,SMSN LI Equity
1997-02-07,44.93,SMSN LI Equity
1997-02-10,45.52,SMSN LI Equity
1997-02-11,45.4,SMSN LI Equity
1997-02-12,46.38,SMSN LI Equity
1997-02-13,47.72,SMSN LI Equity
1997-02-14,48.41,SMSN LI Equity
1997-02-17,45.4,SMSN LI Equity
1997-02-18,45.7,SMSN LI Equity
1997-02-19,44.91,SMSN LI Equity
1997-02-20,43.68,SMSN LI Equity
1997-02-21,40.5,SMSN LI Equity
1997-02-24,40.81,SMSN LI Equity
1997-02-25,43.15,SMSN LI Equity
1997-02-26,42.95,SMSN LI Equity
1997-02-27,42.71,SMSN LI Equity
1997-02-28,43.07,SMSN LI Equity
1997-03-03,43.44,SMSN LI Equity
1997-03-04,43.32,SMSN LI Equity
1997-03-05,43.81,SMSN LI Equity
1997-03-06,44.17,SMSN LI Equity
1997-03-07,44.11,SMSN LI Equity
1997-03-10,42.71,SMSN LI Equity
1997-03-11,42.71,SMSN LI Equity
1997-03-12,43,SMSN LI Equity
1997-03-13,42.63,SMSN LI Equity
1997-03-14,42.03,SMSN LI Equity
1997-03-17,44.24,SMSN LI Equity
1997-03-18,44.3,SMSN LI Equity
1997-03-19,43.2,SMSN LI Equity
1997-03-20,42.46,SMSN LI Equity
1997-03-21,41.41,SMSN LI Equity
1997-03-24,42.71,SMSN LI Equity
1997-03-25,45.4,SMSN LI Equity
1997-03-26,45.57,SMSN LI Equity
1997-03-27,44.66,SMSN LI Equity
1997-04-01,44.66,SMSN LI Equity
1997-04-02,45.64,SMSN LI Equity
1997-04-03,45.15,SMSN LI Equity
1997-04-04,45.64,SMSN LI Equity
1997-04-07,46.87,SMSN LI Equity
1997-04-08,47.48,SMSN LI Equity
1997-04-09,47.48,SMSN LI Equity
1997-04-10,46.13,SMSN LI Equity
1997-04-11,46.25,SMSN LI Equity
1997-04-14,48.75,SMSN LI Equity
1997-04-15,48.33,SMSN LI Equity
1997-04-16,48.33,SMSN LI Equity
1997-04-17,47.23,SMSN LI Equity
1997-04-18,47.11,SMSN LI Equity
1997-04-21,47.6,SMSN LI Equity
1997-04-22,45.64,SMSN LI Equity
1997-04-23,46.25,SMSN LI Equity
1997-04-24,46.74,SMSN LI Equity
1997-04-25,46.01,SMSN LI Equity
1997-04-28,47.6,SMSN LI Equity
1997-04-29,47.11,SMSN LI Equity
1997-04-30,46.13,SMSN LI Equity
1997-05-01,45.03,SMSN LI Equity
1997-05-02,46.87,SMSN LI Equity
1997-05-06,46.5,SMSN LI Equity
1997-05-07,46.5,SMSN LI Equity
1997-05-08,47.11,SMSN LI Equity
1997-05-09,48.4,SMSN LI Equity
1997-05-12,49.31,SMSN LI Equity
1997-05-13,49.5,SMSN LI Equity
1997-05-14,49.31,SMSN LI Equity
1997-05-15,50.78,SMSN LI Equity
1997-05-16,50.17,SMSN LI Equity
1997-05-19,50.54,SMSN LI Equity
1997-05-20,51.64,SMSN LI Equity
1997-05-21,51.39,SMSN LI Equity
1997-05-22,52.13,SMSN LI Equity
1997-05-23,53.23,SMSN LI Equity
1997-05-27,52.98,SMSN LI Equity
1997-05-28,55.14,SMSN LI Equity
1997-05-29,56.78,SMSN LI Equity
1997-05-30,53.72,SMSN LI Equity
1997-06-02,57.02,SMSN LI Equity
1997-06-03,57.27,SMSN LI Equity
1997-06-04,55.73,SMSN LI Equity
1997-06-05,55.85,SMSN LI Equity
1997-06-06,56.04,SMSN LI Equity
1997-06-09,55.98,SMSN LI Equity
1997-06-10,55.49,SMSN LI Equity
1997-06-11,54.7,SMSN LI Equity
1997-06-12,55.38,SMSN LI Equity
1997-06-13,59.03,SMSN LI Equity
1997-06-16,58.96,SMSN LI Equity
1997-06-17,62.21,SMSN LI Equity
1997-06-18,60.39,SMSN LI Equity
1997-06-19,59.1,SMSN LI Equity
1997-06-20,59.4,SMSN LI Equity
1997-06-23,58.49,SMSN LI Equity
1997-06-24,58.74,SMSN LI Equity
1997-06-25,58.74,SMSN LI Equity
1997-06-26,58.37,SMSN LI Equity
1997-06-27,56.9,SMSN LI Equity
1997-06-30,56.9,SMSN LI Equity
1997-07-01,58.31,SMSN LI Equity
1997-07-02,58.78,SMSN LI Equity
1997-07-03,58.61,SMSN LI Equity
1997-07-04,59.04,SMSN LI Equity
1997-07-07,58.61,SMSN LI Equity
1997-07-08,58.12,SMSN LI Equity
1997-07-09,57.63,SMSN LI Equity
1997-07-10,57.02,SMSN LI Equity
1997-07-11,56.66,SMSN LI Equity
1997-07-14,58.06,SMSN LI Equity
1997-07-15,57.63,SMSN LI Equity
1997-07-16,57.63,SMSN LI Equity
1997-07-17,57.63,SMSN LI Equity
1997-07-18,58.49,SMSN LI Equity
1997-07-21,58.74,SMSN LI Equity
1997-07-22,58.49,SMSN LI Equity
1997-07-23,59.42,SMSN LI Equity
1997-07-24,61.28,SMSN LI Equity
1997-07-25,60.84,SMSN LI Equity
1997-07-28,61.35,SMSN LI Equity
1997-07-29,60.38,SMSN LI Equity
1997-07-30,59.35,SMSN LI Equity
1997-07-31,58.1,SMSN LI Equity
1997-08-01,58.49,SMSN LI Equity
1997-08-04,60.94,SMSN LI Equity
1997-08-05,62.04,SMSN LI Equity
1997-08-06,62.21,SMSN LI Equity
1997-08-07,63.19,SMSN LI Equity
1997-08-08,63.73,SMSN LI Equity
1997-08-11,63.69,SMSN LI Equity
1997-08-12,63.09,SMSN LI Equity
1997-08-13,63.02,SMSN LI Equity
1997-08-14,63.55,SMSN LI Equity
1997-08-15,63.14,SMSN LI Equity
1997-08-18,61.43,SMSN LI Equity
1997-08-19,61.16,SMSN LI Equity
1997-08-20,62.9,SMSN LI Equity
1997-08-21,62.21,SMSN LI Equity
1997-08-22,60.96,SMSN LI Equity
1997-08-26,60.45,SMSN LI Equity
1997-08-27,61.12,SMSN LI Equity
1997-08-28,57.46,SMSN LI Equity
1997-08-29,53.72,SMSN LI Equity
1997-09-01,53.6,SMSN LI Equity
1997-09-02,53.6,SMSN LI Equity
1997-09-03,54.14,SMSN LI Equity
1997-09-04,54.27,SMSN LI Equity
1997-09-05,56.66,SMSN LI Equity
1997-09-08,56.36,SMSN LI Equity
1997-09-09,55.31,SMSN LI Equity
1997-09-10,56.75,SMSN LI Equity
1997-09-11,59.13,SMSN LI Equity
1997-09-12,60.08,SMSN LI Equity
1997-09-15,59.35,SMSN LI Equity
1997-09-16,58.86,SMSN LI Equity
1997-09-17,59.45,SMSN LI Equity
1997-09-18,59.1,SMSN LI Equity
1997-09-19,57.51,SMSN LI Equity
1997-09-22,54.58,SMSN LI Equity
1997-09-23,52.98,SMSN LI Equity
1997-09-24,53.79,SMSN LI Equity
1997-09-25,53.04,SMSN LI Equity
1997-09-26,53.11,SMSN LI Equity
1997-09-29,52.07,SMSN LI Equity
1997-09-30,52.62,SMSN LI Equity
1997-10-01,52.01,SMSN LI Equity
1997-10-02,52.13,SMSN LI Equity
1997-10-03,53.25,SMSN LI Equity
1997-10-06,54.45,SMSN LI Equity
1997-10-07,53.52,SMSN LI Equity
1997-10-08,51.64,SMSN LI Equity
1997-10-09,50.68,SMSN LI Equity
1997-10-10,50.66,SMSN LI Equity
1997-10-13,47.72,SMSN LI Equity
1997-10-14,46.5,SMSN LI Equity
1997-10-15,42.24,SMSN LI Equity
1997-10-16,37.81,SMSN LI Equity
1997-10-17,40.58,SMSN LI Equity
1997-10-20,38.79,SMSN LI Equity
1997-10-21,39.16,SMSN LI Equity
1997-10-22,42.28,SMSN LI Equity
1997-10-23,38.68,SMSN LI Equity
1997-10-24,36.83,SMSN LI Equity
1997-10-27,31.2,SMSN LI Equity
1997-10-28,26.97,SMSN LI Equity
1997-10-29,25.82,SMSN LI Equity
1997-10-30,21.07,SMSN LI Equity
1997-10-31,20.44,SMSN LI Equity
1997-11-03,24.11,SMSN LI Equity
1997-11-04,25.94,SMSN LI Equity
1997-11-05,26.81,SMSN LI Equity
1997-11-06,25.94,SMSN LI Equity
1997-11-07,21.41,SMSN LI Equity
1997-11-10,22.96,SMSN LI Equity
1997-11-11,21.9,SMSN LI Equity
1997-11-12,20.07,SMSN LI Equity
1997-11-13,20.83,SMSN LI Equity
1997-11-14,20.44,SMSN LI Equity
1997-11-17,20.19,SMSN LI Equity
1997-11-18,20.35,SMSN LI Equity
1997-11-19,18.12,SMSN LI Equity
1997-11-20,16.32,SMSN LI Equity
1997-11-21,21.17,SMSN LI Equity
1997-11-24,19.82,SMSN LI Equity
1997-11-25,21.05,SMSN LI Equity
1997-11-26,22.76,SMSN LI Equity
1997-11-27,22.21,SMSN LI Equity
1997-11-28,21.39,SMSN LI Equity
1997-12-01,21.44,SMSN LI Equity
1997-12-02,21.61,SMSN LI Equity
1997-12-03,21.57,SMSN LI Equity
1997-12-04,23.67,SMSN LI Equity
1997-12-05,24.96,SMSN LI Equity
1997-12-08,21.71,SMSN LI Equity
1997-12-09,17.5,SMSN LI Equity
1997-12-10,15.17,SMSN LI Equity
1997-12-11,13.02,SMSN LI Equity
1997-12-12,12.62,SMSN LI Equity
1997-12-15,18.23,SMSN LI Equity
1997-12-16,17.48,SMSN LI Equity
1997-12-17,17.13,SMSN LI Equity
1997-12-18,17.01,SMSN LI Equity
1997-12-19,14.94,SMSN LI Equity
1997-12-22,15.03,SMSN LI Equity
1997-12-23,13.27,SMSN LI Equity
1997-12-24,13.48,SMSN LI Equity
1997-12-29,15.86,SMSN LI Equity
1997-12-30,15.15,SMSN LI Equity
1997-12-31,13.7,SMSN LI Equity
1998-01-05,17.3,SMSN LI Equity
1998-01-06,16.27,SMSN LI Equity
1998-01-07,16.58,SMSN LI Equity
1998-01-08,16.74,SMSN LI Equity
1998-01-09,16.23,SMSN LI Equity
1998-01-12,17.45,SMSN LI Equity
1998-01-13,18.09,SMSN LI Equity
1998-01-14,21.54,SMSN LI Equity
1998-01-15,23.74,SMSN LI Equity
1998-01-16,23.64,SMSN LI Equity
1998-01-19,27.04,SMSN LI Equity
1998-01-20,27.02,SMSN LI Equity
1998-01-21,24.4,SMSN LI Equity
1998-01-22,21.46,SMSN LI Equity
1998-01-23,21.48,SMSN LI Equity
1998-01-26,23.47,SMSN LI Equity
1998-01-27,23.27,SMSN LI Equity
1998-01-28,23.4,SMSN LI Equity
1998-01-29,23.4,SMSN LI Equity
1998-01-30,30.96,SMSN LI Equity
1998-02-02,28.51,SMSN LI Equity
1998-02-03,27.73,SMSN LI Equity
1998-02-04,26.19,SMSN LI Equity
